page,clicks,impressions,days_with_data,first_date,last_date,best_impression_position,avg_impression_position
https://bebidasalcoholicas.org/cerveza/las-10-mejores-cervezas-de-brasil/,7,39,4,2026-03-20,2026-04-10,1,1.5
https://bebidasalcoholicas.org/,6,567,4,2026-03-20,2026-04-10,6,6.5
https://bebidasalcoholicas.org/sin-alcohol/cual-es-el-ph-de-las-bebidas-alcoholicas/,6,18,3,2026-03-20,2026-04-10,2,3.33
https://bebidasalcoholicas.org/alcohol/mejores-marcas-de-sidra/,4,8,2,2026-03-20,2026-04-03,2,3.0
https://bebidasalcoholicas.org/alcohol/puede-la-cerveza-elevar-tus-niveles-de-potasio/,4,8,3,2026-03-20,2026-04-10,1,2.67
https://bebidasalcoholicas.org/suave/que-alcohol-no-es-inflamable/,3,34,3,2026-03-20,2026-04-10,2,4.0
https://bebidasalcoholicas.org/vodka/como-tomar-vodka/,3,26,2,2026-03-27,2026-04-03,4,4.5
https://bebidasalcoholicas.org/vino/los-10-mejores-vinos-de-sudafrica/,3,21,3,2026-03-20,2026-04-03,3,3.0
https://bebidasalcoholicas.org/cerveza/las-mejores-cervezas-jamaicanas/,3,8,2,2026-03-27,2026-04-10,1,1.5
https://bebidasalcoholicas.org/vodka/los-10-vodkas-mas-caros-del-mundo/,3,7,3,2026-03-20,2026-04-10,1,3.33
https://bebidasalcoholicas.org/alcohol/cuanto-tiempo-debo-esperar-para-beber-alcohol-despues-de-tomar-tabletas/,3,3,2,2026-03-27,2026-04-03,4,5.0
https://bebidasalcoholicas.org/alcohol/el-whisky-es-bueno-para-la-insuficiencia-cardiaca-congestiva/,3,2,2,2026-03-27,2026-04-10,2,2.5
https://bebidasalcoholicas.org/vino/los-10-mejores-vinos-bajos-en-calorias/,2,11,2,2026-03-27,2026-04-10,3,3.5
https://bebidasalcoholicas.org/cerveza/las-mejores-cervezas-canadienses/,2,10,2,2026-03-27,2026-04-10,2,3.0
https://bebidasalcoholicas.org/sin-alcohol/pregunta-frecuente-el-alcohol-elimina-el-oxido/,2,8,2,2026-04-03,2026-04-10,1,3.0
https://bebidasalcoholicas.org/alcohol/puedes-hacer-tu-propia-levadura-para-vino/,2,6,1,2026-03-27,2026-03-27,2,2.0
https://bebidasalcoholicas.org/cerveza/las-10-mejores-cervezas-indias/,2,6,3,2026-03-20,2026-04-10,1,1.67
https://bebidasalcoholicas.org/sin-alcohol/tu-pregunta-es-el-grado-80-un-alto-contenido-de-alcohol/,2,6,1,2026-04-10,2026-04-10,5,5.0
https://bebidasalcoholicas.org/suave/cuantas-copas-de-vino-se-necesitan-para-emborracharse/,2,6,2,2026-03-20,2026-03-27,3,3.5
