page,clicks,impressions,ctr,position
https://bebidasalcoholicas.org/vodka/cuantos-tragos-de-vodka-para-emborracharse/,158,2504,0.0631,7.06
https://bebidasalcoholicas.org/alcohol/que-alcohol-es-mas-parecido-al-ron/,21,397,0.0529,10.02
https://bebidasalcoholicas.org/fuerte/por-que-vomito-sangre-cuando-bebo-alcohol/,21,321,0.0654,12.36
https://bebidasalcoholicas.org/alcohol/respuesta-rapida-a-que-hora-se-puede-comprar-alcohol-en-italia/,19,530,0.0358,6.47
https://bebidasalcoholicas.org/fuerte/a-que-hora-se-puede-comprar-alcohol-en-ky/,13,523,0.0249,6.8
https://bebidasalcoholicas.org/vodka/10-mejores-marcas-de-vodka-de-patata/,11,183,0.0601,13.08
https://bebidasalcoholicas.org/alcohol/se-estropea-el-extracto-de-malta/,10,253,0.0395,8.7
https://bebidasalcoholicas.org/fuerte/el-vino-tinto-cambia-el-color-de-la-caca/,10,134,0.0746,16.26
https://bebidasalcoholicas.org/sin-alcohol/preguntaste-por-que-mi-pan-sabe-a-alcohol/,9,268,0.0336,12.91
https://bebidasalcoholicas.org/alcohol/el-vino-tinto-causa-altos-niveles-de-hierro/,9,201,0.0448,16.2
https://bebidasalcoholicas.org/cerveza/las-10-mejores-cervezas-de-brasil/,8,292,0.0274,27.39
https://bebidasalcoholicas.org/suave/pregunta-puedes-inyectarte-alcohol-en-las-venas/,8,28,0.2857,30.39
https://bebidasalcoholicas.org/suave/beber-alcohol-causa-dolor-en-la-mandibula/,8,20,0.4,18
https://bebidasalcoholicas.org/alcohol/el-alcohol-es-un-antifungico/,7,305,0.023,16.26
https://bebidasalcoholicas.org/alcohol/se-puede-tomar-una-copa-de-vino-con-lorazepam/,7,265,0.0264,69.61
https://bebidasalcoholicas.org/cachaza/mejores-marcas-de-cachaca/,6,149,0.0403,24.46
https://bebidasalcoholicas.org/alcohol/cuantas-cervezas-es-un-whisky-de-un-trago/,6,105,0.0571,16.89
https://bebidasalcoholicas.org/suave/se-puede-oler-el-vodka-en-tu-aliento/,6,67,0.0896,15.04
https://bebidasalcoholicas.org/suave/mejor-respuesta-el-gluten-se-evapora-de-la-cerveza/,6,57,0.1053,6.3
https://bebidasalcoholicas.org/sin-alcohol/por-que-las-mimosas-te-emborrachan-rapido/,6,53,0.1132,7.09
https://bebidasalcoholicas.org/sin-alcohol/mejor-respuesta-cuanto-tiempo-despues-del-diazepam-puedo-beber-alcohol/,6,19,0.3158,52.58
https://bebidasalcoholicas.org/suave/que-tan-tarde-se-puede-comprar-alcohol-en-el-reino-unido/,5,231,0.0216,9.35
https://bebidasalcoholicas.org/fuerte/tu-pregunta-el-vino-caliente-es-tan-fuerte-como-el-vino-normal/,5,131,0.0382,6.97
https://bebidasalcoholicas.org/alcohol/que-pasa-si-bebo-vino-de-cocina/,5,27,0.1852,12.63
https://bebidasalcoholicas.org/alcohol/puedes-comprar-alcohol-en-phoenix-el-domingo/,4,531,0.0075,6.49
https://bebidasalcoholicas.org/sin-alcohol/por-que-mi-salsa-de-soja-sabe-a-alcohol/,4,64,0.0625,10.95
https://bebidasalcoholicas.org/alcohol/se-puede-beber-alcohol-con-rybelsus/,4,45,0.0889,50.38
https://bebidasalcoholicas.org/sin-alcohol/por-que-estoy-estrenido-despues-de-dejar-el-alcohol/,4,28,0.1429,13.54
https://bebidasalcoholicas.org/alcohol/que-tipo-de-alcohol-no-huele-en-tu-aliento/,3,112,0.0268,15.83
https://bebidasalcoholicas.org/sin-alcohol/podemos-mezclar-alcohol-con-leche/,3,100,0.03,15.6
https://bebidasalcoholicas.org/alcohol/cuantos-tragos-de-vodka-me-emborracharan/,3,96,0.0312,15.57
https://bebidasalcoholicas.org/slivovitz/,3,67,0.0448,28.93
https://bebidasalcoholicas.org/alcohol/las-mejores-marcas-de-arak/,3,61,0.0492,102.8
https://bebidasalcoholicas.org/alcohol/pregunta-se-puede-emborrachar-con-vermut/,3,61,0.0492,5.69
https://bebidasalcoholicas.org/sin-alcohol/respuesta-rapida-el-vino-tinto-oscurece-las-heces/,3,56,0.0536,13.75
https://bebidasalcoholicas.org/sin-alcohol/mejor-respuesta-podemos-llevar-botellas-de-licor-en-el-tren/,3,52,0.0577,17.27
https://bebidasalcoholicas.org/alcohol/se-puede-hervir-el-vodka/,3,42,0.0714,42.55
https://bebidasalcoholicas.org/sin-alcohol/pueden-los-menores-tomar-vinagre-de-vino-tinto/,3,42,0.0714,9.33
https://bebidasalcoholicas.org/suave/se-puede-verter-alcohol-desnaturalizado-por-el-desague/,3,30,0.1,16.7
https://bebidasalcoholicas.org/cerveza/las-13-cervezas-mas-famosas-de-nueva-zelanda/,3,26,0.1154,10.58
https://bebidasalcoholicas.org/sin-alcohol/el-alcohol-agrava-la-candidiasis/,3,26,0.1154,16.19
https://bebidasalcoholicas.org/alcohol/puedo-tomar-una-copa-de-vino-la-noche-antes-de-una-colonoscopia/,3,18,0.1667,15.44
https://bebidasalcoholicas.org/alcohol/el-vino-contiene-tripas-de-pescado/,3,6,0.5,2.33
https://bebidasalcoholicas.org/licoreria/rincon-tropical-liquor-store-licoreria-en-isabela/,2,183,0.0109,8.62
https://bebidasalcoholicas.org/alcohol/respuesta-rapida-que-alcohol-tiene-menos-olor-en-el-aliento/,2,139,0.0144,15.76
https://bebidasalcoholicas.org/alcohol/que-le-sucede-al-whisky-cuando-se-calienta/,2,128,0.0156,7.98
https://bebidasalcoholicas.org/fuerte/a-que-hora-se-puede-comprar-cerveza-en-utah-en-una-gasolinera/,2,127,0.0157,9.19
https://bebidasalcoholicas.org/alcohol/el-alcohol-se-evapora-en-un-recipiente-abierto/,2,119,0.0168,14.04
https://bebidasalcoholicas.org/suave/pregunta-los-celiacos-pueden-comer-vinagre-de-malta/,2,114,0.0175,12.59
https://bebidasalcoholicas.org/suave/se-supone-que-el-vodka-se-quema/,2,98,0.0204,7.54
https://bebidasalcoholicas.org/fuerte/tu-pregunta-que-puedo-usar-en-lugar-de-licor-de-kirsch/,2,96,0.0208,10.93
https://bebidasalcoholicas.org/alcohol/mejor-respuesta-de-que-esta-hecha-la-pina-colada-sin-alcohol/,2,86,0.0233,7.85
https://bebidasalcoholicas.org/alcohol/cuanto-tiempo-debe-esperar-entre-tragos-de-alcohol/,2,80,0.025,19.35
https://bebidasalcoholicas.org/fuerte/puedo-tomar-nyquil-si-tome-una-cerveza/,2,80,0.025,12.51
https://bebidasalcoholicas.org/fuerte/mejor-respuesta-como-se-mide-un-trago-de-whisky/,2,77,0.026,18.04
https://bebidasalcoholicas.org/sin-alcohol/la-cultura-india-bebe-alcohol/,2,75,0.0267,14.56
https://bebidasalcoholicas.org/sin-alcohol/por-que-mi-masa-de-pizza-huele-a-cerveza/,2,75,0.0267,11.81
https://bebidasalcoholicas.org/licoreria/red-dog-spirits-llp-licoreria-en-south-coffeyville/,2,68,0.0294,8.96
https://bebidasalcoholicas.org/alcohol/usted-pregunto-cuanto-tiempo-se-puede-detectar-alcohol-en-orina-etg/,2,63,0.0317,59.38
https://bebidasalcoholicas.org/cerveza/las-mejores-cervezas-suecas-que-vale-la-pena-probar/,2,57,0.0351,24.14
https://bebidasalcoholicas.org/suave/el-licor-se-estropea-sin-la-tapa/,2,55,0.0364,16.44
https://bebidasalcoholicas.org/sin-alcohol/cuanta-ganancia-hay-en-una-botella-de-vino/,2,54,0.037,14.31
https://bebidasalcoholicas.org/suave/el-extracto-de-cebada-malteada-es-malo-para-ti/,2,51,0.0392,50.02
https://bebidasalcoholicas.org/sin-alcohol/puedes-aprender-mientras-estas-borracho/,2,47,0.0426,14.43
https://bebidasalcoholicas.org/alcohol/puedes-poner-una-cerveza-abierta-en-la-nevera/,2,35,0.0571,17.29
https://bebidasalcoholicas.org/alcohol/como-se-almacena-el-vino-de-oporto-sin-abrir/,2,31,0.0645,19.06
https://bebidasalcoholicas.org/suave/pregunta-frecuente-los-platanos-tienen-alcohol/,2,31,0.0645,7.26
https://bebidasalcoholicas.org/alcohol/el-pastel-con-infusion-de-alcohol-te-emborracha/,2,26,0.0769,22
