query,page,clicks,impressions,ctr,position
cuantos shots de vodka te emborrachas,https://bebidasalcoholicas.org/vodka/cuantos-tragos-de-vodka-para-emborracharse/,27,481,0.0561,5.42
vomitar sangre borracho,https://bebidasalcoholicas.org/fuerte/por-que-vomito-sangre-cuando-bebo-alcohol/,20,256,0.0781,6.41
con cuantos shots de smirnoff te emborrachas,https://bebidasalcoholicas.org/vodka/cuantos-tragos-de-vodka-para-emborracharse/,20,141,0.1418,4.74
vodka de papa marcas,https://bebidasalcoholicas.org/vodka/10-mejores-marcas-de-vodka-de-patata/,8,126,0.0635,6.88
bebida parecida al ron,https://bebidasalcoholicas.org/alcohol/que-alcohol-es-mas-parecido-al-ron/,4,37,0.1081,6.97
vodka de patata marcas,https://bebidasalcoholicas.org/vodka/10-mejores-marcas-de-vodka-de-patata/,3,22,0.1364,10.05
el vino caliente emborracha,https://bebidasalcoholicas.org/fuerte/tu-pregunta-el-vino-caliente-es-tan-fuerte-como-el-vino-normal/,2,61,0.0328,6.56
nyquil z y alcohol,https://bebidasalcoholicas.org/fuerte/puedo-tomar-nyquil-si-tome-una-cerveza/,2,9,0.2222,10.78
cuanto dura el extracto de malta,https://bebidasalcoholicas.org/alcohol/se-estropea-el-extracto-de-malta/,2,8,0.25,12.75
jolly time too,https://bebidasalcoholicas.org/licoreria/jolly-time-too-liquor-wine-licoreria-en-kingsport/,1,256,0.0039,11.26
cognac,https://bebidasalcoholicas.org/cognac/,1,66,0.0152,31.7
puedo tomar alcohol si me estoy poniendo ovulos de metronidazol,https://bebidasalcoholicas.org/fuerte/beber-alcohol-hace-que-el-metronidazol-sea-menos-efectivo/,1,34,0.0294,26.47
mezclador para ron abuelo,https://bebidasalcoholicas.org/alcohol/5-mejores-mezcladores-para-ron/,1,26,0.0385,6.77
sertralina y alcohol ocasional,https://bebidasalcoholicas.org/alcohol/el-alcohol-hace-que-la-sertralina-deje-de-funcionar/,1,24,0.0417,60.33
cervezas irlandesas,https://bebidasalcoholicas.org/cerveza/las-mejores-cervezas-irlandesas/,1,23,0.0435,125.26
rybelsus y alcohol,https://bebidasalcoholicas.org/alcohol/se-puede-beber-alcohol-con-rybelsus/,1,23,0.0435,71.87
cuantos shots de vodka te emborrachas,https://bebidasalcoholicas.org/alcohol/cuantos-tragos-de-vodka-me-emborracharan/,1,18,0.0556,10.5
extracto de malta de cebada es mala,https://bebidasalcoholicas.org/suave/el-extracto-de-cebada-malteada-es-malo-para-ti/,1,18,0.0556,7.72
el alcohol mata los hongos,https://bebidasalcoholicas.org/alcohol/el-alcohol-es-un-antifungico/,1,15,0.0667,25.93
bebidas parecidas al ron,https://bebidasalcoholicas.org/alcohol/que-alcohol-es-mas-parecido-al-ron/,1,14,0.0714,6.64
se puede beber alcohol con tratamiento de inmunoterapia,https://bebidasalcoholicas.org/suave/se-puede-beber-alcohol-despues-de-la-inmunoterapia/,1,11,0.0909,37.18
cervezas suecas,https://bebidasalcoholicas.org/cerveza/las-mejores-cervezas-suecas-que-vale-la-pena-probar/,1,5,0.2,27.4
alergia a la cerveza,https://bebidasalcoholicas.org/suave/que-son-las-reacciones-alergicas-a-la-cerveza/,1,3,0.3333,32
bupropión y alcohol,https://bebidasalcoholicas.org/alcohol/cuales-son-los-efectos-secundarios-de-mezclar-wellbutrin-con-alcohol/,1,3,0.3333,45.67
chicha,https://bebidasalcoholicas.org/chicha/,1,3,0.3333,15.33
el alcohol se evapora a temperatura ambiente,https://bebidasalcoholicas.org/alcohol/el-alcohol-se-evapora-en-un-recipiente-abierto/,1,3,0.3333,30
el vodka emborracha,https://bebidasalcoholicas.org/vodka/cuantos-tragos-de-vodka-para-emborracharse/,1,3,0.3333,12.67
el vodka no huele,https://bebidasalcoholicas.org/suave/se-puede-oler-el-vodka-en-tu-aliento/,1,3,0.3333,12.33
heces negras vino tinto,https://bebidasalcoholicas.org/fuerte/el-vino-tinto-cambia-el-color-de-la-caca/,1,3,0.3333,13
licor de cafe marcas,https://bebidasalcoholicas.org/licor/las-dos-mejores-marcas-de-licores-de-cafe/,1,3,0.3333,65.67
que pasa si te inyectas alcohol,https://bebidasalcoholicas.org/suave/pregunta-puedes-inyectarte-alcohol-en-las-venas/,1,3,0.3333,50
cerveza de nueva zelanda,https://bebidasalcoholicas.org/cerveza/las-13-cervezas-mas-famosas-de-nueva-zelanda/,1,2,0.5,21.5
cual es la mejor cerveza de brasil,https://bebidasalcoholicas.org/cerveza/las-10-mejores-cervezas-de-brasil/,1,2,0.5,14.5
cuanto tiempo después de tomar lorazepam puedo tomar alcohol,https://bebidasalcoholicas.org/alcohol/se-puede-tomar-una-copa-de-vino-con-lorazepam/,1,2,0.5,26
